,country_name,year,median_income
0,Italy,2012.0,16.637222222222224
1,Poland,2012.0,6.4335555555555555
2,Hungary,2012.0,5.294
3,Slovenia,2012.0,13.181444444444447
4,Serbia,2012.0,2.892777777777778
5,Portugal,2012.0,9.328
6,Italy,2013.0,15.733
7,Poland,2013.0,5.164
8,Hungary,2013.0,4.449
9,Slovenia,2013.0,11.852
10,Serbia,2013.0,2.419
11,Portugal,2013.0,8.177
12,Italy,2014.0,15.759
13,Poland,2014.0,5.336
14,Hungary,2014.0,4.512
15,Slovenia,2014.0,11.909
16,Serbia,2014.0,2.426
17,Portugal,2014.0,8.229
18,Italy,2015.0,15.846
19,Poland,2015.0,5.556
20,Hungary,2015.0,4.556
21,Slovenia,2015.0,12.332
22,Serbia,2015.0,2.382
23,Portugal,2015.0,8.435
24,Italy,2016.0,16.247
25,Poland,2016.0,5.884
26,Hungary,2016.0,4.768
27,Slovenia,2016.0,12.327
28,Serbia,2016.0,2.432
29,Portugal,2016.0,8.782
30,Italy,2017.0,16.542
31,Poland,2017.0,5.945
32,Hungary,2017.0,4.988
33,Slovenia,2017.0,12.713
34,Serbia,2017.0,2.534
35,Portugal,2017.0,9.071
36,Italy,2018.0,16.844
37,Poland,2018.0,6.574
38,Hungary,2018.0,5.424
39,Slovenia,2018.0,13.244
40,Serbia,2018.0,2.739
41,Portugal,2018.0,9.346
42,Italy,2019.0,17.165
43,Poland,2019.0,7.124
44,Hungary,2019.0,5.852
45,Slovenia,2019.0,14.067
46,Serbia,2019.0,3.277
47,Portugal,2019.0,10.023
48,Italy,2020.0,18.067
49,Poland,2020.0,8.022
50,Hungary,2020.0,6.478
51,Slovenia,2020.0,14.774
52,Serbia,2020.0,3.733
53,Portugal,2020.0,10.8
54,Italy,2021.0,17.532
55,Poland,2021.0,8.297
56,Hungary,2021.0,6.619
57,Slovenia,2021.0,15.415
58,Serbia,2021.0,4.093
59,Portugal,2021.0,11.089
60,Italy,2022.0,16.637222222222224
61,Poland,2022.0,6.4335555555555555
62,Hungary,2022.0,5.2940000000000005
63,Slovenia,2022.0,13.181444444444445
64,Serbia,2022.0,2.8927777777777783
65,Portugal,2022.0,9.328
66,Turkey,2012.0,19.12
67,Turkey,2013.0,21.42
68,Turkey,2014.0,22.62
69,Turkey,2015.0,24.06
70,Turkey,2016.0,25.57
71,Turkey,2017.0,26.06
72,Turkey,2018.0,26.26
73,Turkey,2019.0,26.49
74,Turkey,2020.0,26.11
75,Turkey,2021.0,26.64
76,Turkey,2022.0,24.43
