,country_name,year,e_pop
0,Italy,2020,6050.5719
1,Italy,2021,6054.8678
2,Italy,2022,6059.1668
3,Poland,2020,3786.7076
4,Poland,2021,3787.4271
5,Poland,2022,3788.1467
6,Hungary,2020,967.2449
7,Hungary,2021,964.1400
8,Hungary,2022,961.0451
9,Slovenia,2020,207.8794
10,Slovenia,2021,208.1829
11,Slovenia,2022,2 084 868
12,Serbia,2020,875.4704
13,Serbia,2021,871.4082
14,Serbia,2022,867.3649
15,Turkey,2020,8388.6822
16,Turkey,2021,8529.9476
17,Turkey,2022,8673.5919
18,Portugal,2020,1021.1362
19,Portugal,2021,1016.5513
20,Portugal,2022,1011.9870
